Date,Close/Last,Volume,Open,High,Low
3/17/2016,26.45,137579320,26.38,26.6175,26.24
3/18/2016,26.48,174428480,26.585,26.625,26.2975
3/21/2016,26.4775,141816920,26.4825,26.9125,26.285
3/22/2016,26.68,129381720,26.3125,26.8225,26.3025
3/23/2016,26.5325,102745400,26.62,26.7675,26.475
3/24/2016,26.4175,102273400,26.3675,26.5625,26.2225
3/28/2016,26.2975,77417760,26.5,26.5475,26.265
3/29/2016,26.92,124619640,26.2225,26.9475,26.22
3/30/2016,27.39,182190360,27.1625,27.605,27.15
3/31/2016,27.2475,103055360,27.43,27.475,27.22
4/1/2016,27.4975,103281840,27.195,27.5,27.05
4/4/2016,27.78,149291720,27.605,28.0475,27.5675
4/5/2016,27.4525,106241680,27.3775,27.6825,27.355
4/6/2016,27.74,104715360,27.5575,27.745,27.3
4/7/2016,27.135,126943240,27.4875,27.605,27.0302
4/8/2016,27.165,94215160,27.2275,27.4425,27.0425
4/11/2016,27.255,117431760,27.2425,27.6525,27.2075
4/12/2016,27.61,108602280,27.335,27.625,27.165
4/13/2016,28.01,131087040,27.7,28.085,27.7
4/14/2016,28.025,101459680,27.905,28.0975,27.8325
4/15/2016,27.4625,187494680,28.0275,28.075,27.4325
4/18/2016,26.87,243139680,27.2225,27.2375,26.735
4/19/2016,26.7275,129362480,26.97,27,26.5575
4/20/2016,26.7825,122307920,26.66,27.0225,26.515
4/21/2016,26.4925,125667640,26.7325,26.7325,26.38
4/22/2016,26.42,134623240,26.2525,26.62,26.155
4/25/2016,26.27,111991960,26.25,26.4125,26.1275
4/26/2016,26.0875,211919120,25.9775,26.325,25.9775
4/27/2016,24.455,457745200,24,24.6775,23.92
4/28/2016,23.7075,328428480,24.4025,24.47,23.5625
4/29/2016,23.435,273555360,23.4975,23.68,23.1275
5/2/2016,23.41,191377960,23.4913,23.52,23.1
5/3/2016,23.795,227080320,23.55,23.935,23.42
5/4/2016,23.5475,163936640,23.8,23.975,23.455
5/5/2016,23.31,143400880,23.5,23.5175,23.17
5/6/2016,23.18,174660640,23.3425,23.3625,22.9625
5/9/2016,23.1975,131582600,23.25,23.4425,23.1475
5/10/2016,23.355,134612080,23.3325,23.3925,23.0275
5/11/2016,23.1275,114564720,23.37,23.3925,23.115
5/12/2016,22.585,304733840,23.18,23.195,22.3675
5/13/2016,22.63,176892160,22.5,22.9175,22.5
5/16/2016,23.47,244769360,23.0975,23.5975,22.9125
5/17/2016,23.3725,187435640,23.6375,23.675,23.2525
5/18/2016,23.64,168039320,23.54,23.8025,23.4725
5/19/2016,23.55,121671520,23.66,23.66,23.3925
5/20/2016,23.805,127336080,23.66,23.8575,23.63
5/23/2016,24.1075,151908080,23.9675,24.2975,23.9175
5/24/2016,24.475,140297520,24.305,24.5225,24.21
5/25/2016,24.905,153033200,24.6675,24.935,24.5275
5/26/2016,25.1025,225173960,24.92,25.1825,24.66
5/27/2016,25.0875,145197840,24.86,25.1175,24.8113
5/31/2016,24.965,169072160,24.9,25.1,24.705
6/1/2016,24.615,116556400,24.755,24.885,24.5825
6/2/2016,24.43,160680800,24.4,24.46,24.1575
6/3/2016,24.48,113950280,24.4475,24.5675,24.3625
6/6/2016,24.6575,93060800,24.4975,25.4725,24.3875
6/7/2016,24.7575,89513520,24.8125,24.9675,24.74
6/8/2016,24.735,83359800,24.755,24.89,24.67
6/9/2016,24.9125,106302280,24.625,24.9975,24.615
6/10/2016,24.7075,126688880,24.6325,24.8364,24.62
6/13/2016,24.335,150833440,24.6725,24.78,24.275
6/14/2016,24.365,127562960,24.33,24.6187,24.1875
6/15/2016,24.285,117492200,24.455,24.6025,24.2575
6/16/2016,24.3875,125007480,24.1125,24.4375,24.0175
6/17/2016,23.8325,243173040,24.155,24.1625,23.825
6/20/2016,23.775,137423880,24,24.1425,23.7575
6/21/2016,23.9775,141628200,23.735,24.0875,23.669
6/22/2016,23.8875,116496560,24.0625,24.2225,23.8375
6/23/2016,24.025,128169160,23.985,24.0725,23.8125
6/24/2016,23.35,300878840,23.2275,23.6638,23.1625
6/27/2016,23.01,182382720,23.25,23.2625,22.875
6/28/2016,23.3975,161551840,23.225,23.415,23.035
6/29/2016,23.6,146021680,23.4925,23.6375,23.4075
6/30/2016,23.9,143133280,23.61,23.9425,23.575
7/1/2016,23.9725,103928320,23.8725,24.1163,23.8325
7/5/2016,23.7475,110215000,23.8475,23.85,23.615
7/6/2016,23.8825,123510160,23.65,23.915,23.5925
7/7/2016,23.985,97843400,23.925,24.125,23.905
7/8/2016,24.17,115510000,24.1225,24.2225,24.0125
7/11/2016,24.245,93271960,24.1875,24.4125,24.1825
7/12/2016,24.355,96518120,24.2925,24.425,24.28
7/13/2016,24.2175,103518720,24.3525,24.4175,24.21
7/14/2016,24.6975,155543920,24.3475,24.7475,24.33
7/15/2016,24.695,120125640,24.73,24.825,24.625
7/18/2016,24.9575,145858120,24.675,25.0325,24.65
7/19/2016,24.9675,95065440,24.89,25,24.835
7/20/2016,24.99,104876440,25,25.115,24.9338
7/21/2016,24.8575,130760320,24.9575,25.25,24.7825
7/22/2016,24.665,112872960,24.815,24.825,24.5775
7/25/2016,24.335,161162320,24.5625,24.71,24.23
7/26/2016,24.1675,213818480,24.205,24.4925,24.105
7/27/2016,25.7375,368575680,26.0663,26.0875,25.6875
7/28/2016,26.085,155087360,25.7075,26.1125,25.705
7/29/2016,26.0525,110791880,26.0475,26.1375,25.92
8/1/2016,26.5125,152075640,26.1025,26.5375,26.1025
8/2/2016,26.12,135080880,26.5125,26.5175,26
8/3/2016,26.4475,120593440,26.2025,26.46,26.1925
8/4/2016,26.4675,107126920,26.395,26.5,26.32
8/5/2016,26.87,158186440,26.5675,26.9125,26.545
8/8/2016,27.0925,112041720,26.88,27.0925,26.79
8/9/2016,27.2025,105185040,27.0575,27.235,27.0025
8/10/2016,27,95359520,27.1775,27.225,26.94
8/11/2016,26.9825,109840280,27.13,27.2325,26.9625
8/12/2016,27.045,74594800,26.945,27.11,26.945
8/15/2016,27.37,102817320,27.035,27.385,27.02
8/16/2016,27.345,135018720,27.4075,27.5575,27.3025
8/17/2016,27.305,101314720,27.275,27.3425,27.085
8/18/2016,27.27,87673360,27.3075,27.4,27.255
8/19/2016,27.34,100435560,27.1925,27.4225,27.09
8/22/2016,27.1275,103137680,27.215,27.275,26.9625
8/23/2016,27.2125,84947400,27.1475,27.33,27.1325
8/24/2016,27.0075,94424960,27.1412,27.1875,26.92
8/25/2016,26.8925,100006920,26.8475,26.97,26.67
8/26/2016,26.735,110977200,26.8525,26.9875,26.5775
8/29/2016,26.705,99600520,26.655,26.86,26.5725
8/30/2016,26.5,99271760,26.45,26.625,26.375
8/31/2016,26.525,126556040,26.415,26.6425,26.41
9/1/2016,26.6825,106701000,26.535,26.7,26.405
9/2/2016,26.9325,105575080,26.925,27,26.705
9/6/2016,26.925,106580520,26.975,27.075,26.8775
9/7/2016,27.09,169001920,26.9575,27.19,26.7675
9/8/2016,26.38,211821240,26.8125,26.8175,26.31
9/9/2016,25.7825,185846440,26.16,26.43,25.7825
9/12/2016,26.36,180458360,25.6625,26.43,25.6325
9/13/2016,26.9875,248320640,26.8775,27.1975,26.81
9/14/2016,27.9425,444747600,27.1825,28.2575,27.15
9/15/2016,28.8925,361592680,28.465,28.9325,28.3725
9/16/2016,28.73,319055560,28.78,29.0325,28.51
9/19/2016,28.395,187748760,28.7975,29.045,28.3125
9/20/2016,28.3925,137976600,28.2625,28.53,28.1275
9/21/2016,28.3875,143807600,28.4625,28.4973,28.1103
9/22/2016,28.655,124192680,28.5875,28.735,28.5
9/23/2016,28.1775,209644280,28.605,28.6975,27.8875
9/26/2016,28.22,119200960,27.91,28.3475,27.8875
9/27/2016,28.2725,98349960,28.25,28.295,28.085
9/28/2016,28.4875,118433560,28.4225,28.66,28.3575
9/29/2016,28.045,143400040,28.29,28.45,27.95
9/30/2016,28.2625,145362680,28.115,28.3425,27.95
10/3/2016,28.13,86538080,28.1775,28.2625,28.07
10/4/2016,28.25,118829080,28.265,28.5775,28.1575
10/5/2016,28.2625,85601640,28.35,28.415,28.1725
10/6/2016,28.4725,114034840,28.425,28.585,28.2825
10/7/2016,28.515,97345760,28.5775,28.64,28.3775
10/10/2016,29.0125,144351640,28.755,29.1875,28.68
10/11/2016,29.075,255852040,29.425,29.6725,29.05
10/12/2016,29.335,150051720,29.3375,29.495,29.1875
10/13/2016,29.245,140167280,29.1975,29.36,28.93
10/14/2016,29.4075,142504080,29.47,29.5425,29.2825
