Date,Close/Last,Volume,Open,High,Low
03/17/2016,$26.45,137579320,$26.38,$26.62,$26.24
03/18/2016,$26.48,174428480,$26.59,$26.63,$26.30
03/21/2016,$26.48,141816920,$26.48,$26.91,$26.29
03/22/2016,$26.68,129381720,$26.31,$26.82,$26.30
03/23/2016,$26.53,102745400,$26.62,$26.77,$26.48
03/24/2016,$26.42,102273400,$26.37,$26.56,$26.22
03/28/2016,$26.30,77417760,$26.50,$26.55,$26.27
03/29/2016,$26.92,124619640,$26.22,$26.95,$26.22
03/30/2016,$27.39,182190360,$27.16,$27.61,$27.15
03/31/2016,$27.25,103055360,$27.43,$27.48,$27.22
04/01/2016,$27.50,103281840,$27.20,$27.50,$27.05
04/04/2016,$27.78,149291720,$27.61,$28.05,$27.57
04/05/2016,$27.45,106241680,$27.38,$27.68,$27.36
04/06/2016,$27.74,104715360,$27.56,$27.75,$27.30
04/07/2016,$27.14,126943240,$27.49,$27.61,$27.03
04/08/2016,$27.17,94215160,$27.23,$27.44,$27.04
04/11/2016,$27.26,117431760,$27.24,$27.65,$27.21
04/12/2016,$27.61,108602280,$27.34,$27.63,$27.17
04/13/2016,$28.01,131087040,$27.70,$28.09,$27.70
04/14/2016,$28.03,101459680,$27.91,$28.10,$27.83
04/15/2016,$27.46,187494680,$28.03,$28.08,$27.43
04/18/2016,$26.87,243139680,$27.22,$27.24,$26.74
04/19/2016,$26.73,129362480,$26.97,$27,$26.56
04/20/2016,$26.78,122307920,$26.66,$27.02,$26.52
04/21/2016,$26.49,125667640,$26.73,$26.73,$26.38
04/22/2016,$26.42,134623240,$26.25,$26.62,$26.16
04/25/2016,$26.27,111991960,$26.25,$26.41,$26.13
04/26/2016,$26.09,211919120,$25.98,$26.33,$25.98
04/27/2016,$24.46,457745200,$24,$24.68,$23.92
04/28/2016,$23.71,328428480,$24.40,$24.47,$23.56
04/29/2016,$23.44,273555360,$23.50,$23.68,$23.13
05/02/2016,$23.41,191377960,$23.49,$23.52,$23.10
05/03/2016,$23.80,227080320,$23.55,$23.94,$23.42
05/04/2016,$23.55,163936640,$23.80,$23.98,$23.46
05/05/2016,$23.31,143400880,$23.50,$23.52,$23.17
05/06/2016,$23.18,174660640,$23.34,$23.36,$22.96
05/09/2016,$23.20,131582600,$23.25,$23.44,$23.15
