Date,Open,High,Low,Close/Last,Volume
2016-04-12,51.279999,51.389999,50.82,51.23,3538600
2016-04-13,51.52,51.790001,51.169998,51.68,4515500
2016-04-14,51.66,51.98,51.040001,51.57,2772600
2016-04-15,51.529999,51.740002,50.919998,51.02,4737800
2016-04-18,51.860001,51.970001,50.200001,50.84,5266800
2016-04-19,51.080002,51.240002,50.52,50.599998,3253100
2016-04-20,50.610001,50.75,49.91,50.040001,3742000
2016-04-21,49.689999,50.040001,49.060001,49.18,5332800
2016-04-22,49.099998,49.990002,48.130001,48.509998,4882800
2016-04-25,48.740002,49.700001,48.66,49.240002,3606200
2016-04-26,49.169998,49.689999,48.830002,49.130001,3125500
2016-04-27,49.209999,49.759998,49.110001,49.490002,3450200
2016-04-28,48.790001,49.48,48.610001,48.709999,4475600
2016-04-29,49.150002,49.790001,48.25,49.049999,5878700
2016-05-02,49.330002,49.82,49.32,49.529999,3542200
2016-05-03,49.049999,49.93,48.93,49.490002,3738600
2016-05-04,49.110001,49.389999,48.950001,49.16,3200300
2016-05-05,49.009998,49.18,48.32,48.389999,3216300
2016-05-06,48.419998,49.290001,48.16,49.220001,3628400
2016-05-09,49.299999,49.939999,49.240002,49.740002,3313200
2016-05-10,49.130001,50.490002,48.369999,50.389999,6062100
2016-05-11,50.279999,51.139999,50.240002,50.279999,4072400
2016-05-12,50.880001,51.290001,50.509998,51.049999,4010200
2016-05-13,50.560001,51.099998,49.59,49.599998,4532300
2016-05-16,49.689999,50.18,49.639999,49.990002,4432500
2016-05-17,50.119999,50.299999,49.779999,49.93,2483100
2016-05-18,49.939999,50.509998,49.82,50.330002,3565600
2016-05-19,49.939999,50.09,49.25,49.549999,3408700
2016-05-20,49.900002,50.310001,49.790001,50.029999,3087900
2016-05-23,50.240002,50.310001,49.830002,49.91,2182700
2016-05-24,50.220001,51.049999,50.16,50.830002,2411700
2016-05-25,50.23,50.23,49.5,49.630001,5194800
2016-05-26,48.68,48.77,47.299999,47.59,10709400
2016-05-27,48.18,48.959999,48.02,48.599998,5430600
2016-05-31,48.599998,48.830002,47.52,47.740002,6066500
2016-06-01,47.279999,48.119999,47.169998,48.049999,4547200
2016-06-02,47.880001,48.34,47.700001,48.330002,3438100
2016-06-03,47.91,48.009998,47.220001,47.75,3349400
2016-06-06,47.099998,47.389999,46.830002,47.07,4198500
2016-06-07,47.509998,47.93,47.43,47.5,5054500
2016-06-08,47.41,47.849998,47.23,47.68,3046400
2016-06-09,47.689999,48.34,47.580002,48.029999,3516700
2016-06-10,47.130001,47.34,46.919998,47.150002,3790300
2016-06-13,46.5,47.240002,46.380001,46.639999,3660100
2016-06-14,46.07,46.619999,46.029999,46.52,4327400
2016-06-15,47.189999,47.799999,47.080002,47.259998,4193800
2016-06-16,46.77,47.52,46.369999,47.470001,3061300
2016-06-17,47.470001,47.860001,47.41,47.810001,5882300
2016-06-20,49.52,49.650002,48.369999,48.5,5553500
2016-06-21,48.75,49,48.59,48.650002,3073600
2016-06-22,48.860001,49.389999,48.75,48.860001,3174400
2016-06-23,50,50,49.25,49.360001,4211000
2016-06-24,45.459999,47.189999,44.959999,45.650002,10970200
2016-06-27,43.66,44.099998,43.34,43.639999,10886700
2016-06-28,45.150002,46.16,42.939999,43.73,14384200
2016-06-29,43.810001,45.119999,43.360001,44.470001,7537000
2016-06-30,44.119999,44.349998,43.77,44.200001,6542300
2016-07-01,44.720001,45.310001,44.650002,44.860001,5651700
2016-07-05,44.41,44.41,43.560001,43.75,6251900
2016-07-06,43.5,43.77,43.060001,43.18,6195600
2016-07-07,43.639999,44.369999,43.549999,43.82,4953500
2016-07-08,44.5,44.970001,44.43,44.52,4181700
2016-07-11,44.959999,45.689999,44.950001,45.630001,5547500
2016-07-12,46.130001,47.080002,46.099998,46.709999,4911900
2016-07-13,47.049999,47.380001,46.549999,46.650002,3609100
2016-07-14,47.080002,47.41,46.310001,46.32,4010400
2016-07-15,45.779999,45.799999,44.75,45.32,6204300
2016-07-18,45.43,45.970001,45.419998,45.619999,3072100
2016-07-19,45.669998,45.880001,45.02,45.130001,3866800
2016-07-20,45.98,46.169998,45.619999,46.02,4223900
2016-07-21,45.93,46.09,45.169998,45.32,2972700
2016-07-22,45.529999,46.009998,45.41,45.939999,3842100
2016-07-25,45.91,46.5,45.900002,46.310001,2964800
2016-07-26,46.459999,46.740002,46.099998,46.169998,2750000
2016-07-27,46.330002,46.48,46.060001,46.32,3431500
2016-07-28,46.220001,46.650002,45.990002,46.5,2588700
2016-07-29,46.700001,46.950001,46.48,46.720001,3887100
2016-08-01,46.580002,46.91,46.52,46.709999,4294000
2016-08-02,46.18,46.650002,45.080002,45.259998,7242700
2016-08-03,45.099998,46.09,45.080002,45.630001,2826400
2016-08-04,45.66,46.41,45.66,46.16,2772300
2016-08-05,46.34,47.119999,46.310001,47.049999,2566300
2016-08-08,46.82,47.110001,46.41,46.48,2823000
2016-08-09,45.759998,46.34,45.02,45.049999,7587400
2016-08-10,45.200001,45.450001,45.009998,45.439999,4842700
2016-08-11,45.709999,46.32,45.619999,45.919998,4630700
2016-08-12,45.919998,46.18,45.810001,46.040001,3423900
2016-08-15,45.900002,46.369999,45.799999,46.150002,3446500
2016-08-16,46.139999,46.650002,46.080002,46.580002,3012400
2016-08-17,46.509998,47.009998,46.23,46.990002,3467900
2016-08-18,46.860001,46.900002,46.34,46.77,3709100
2016-08-19,46.450001,46.700001,46.080002,46.630001,3132500
2016-08-22,46.540001,46.950001,46.310001,46.91,3481900
2016-08-23,47.200001,47.98,47.16,47.790001,5136500
2016-08-24,47.470001,47.68,47.240002,47.290001,5564600
2016-08-25,46.93,47.310001,46.860001,47.189999,2753800
2016-08-26,47.299999,47.669998,46.900002,47.099998,5077000
2016-08-29,47.080002,47.43,47,47.18,2366100
2016-08-30,47.18,47.459999,47.049999,47.41,2694300
2016-08-31,47.220001,47.919998,47.189999,47.799999,5859200
2016-09-01,48.049999,48.700001,48.009998,48.700001,4118500
2016-09-02,46.689999,47.150002,46.080002,46.389999,12104300
2016-09-06,45.880001,46.27,45.700001,45.869999,5301400
