Date,Open,High,Low,Close/Last,Volume
2016-04-12,30,30.469999,29.709999,30.09,1960100
2016-04-13,30.25,31.6,30.190001,31.469999,2172900
2016-04-14,31.360001,31.73,30.610001,31.65,2564900
2016-04-15,31.75,32.139999,31.51,31.790001,2585500
2016-04-18,31.860001,32.389999,31.629999,32.209999,1782200
2016-04-19,32.34,32.549999,32.119999,32.450001,1662700
2016-04-20,32.490002,33.290001,32.330002,32.889999,2754000
2016-04-21,32.889999,33.09,32.209999,32.310001,2581400
2016-04-22,32.27,32.900002,32.189999,32.799999,22220500
2016-04-25,32.68,33,32.43,32.799999,2062800
2016-04-26,32.75,33.34,32.599998,33.32,1990300
2016-04-27,33.200001,33.720001,33.099998,33.380001,2835800
2016-04-28,33.169998,33.32,32.779999,32.900002,2144800
2016-04-29,32.900002,33.02,32.369999,32.799999,2118400
2016-05-02,32.810001,32.860001,31.950001,32.360001,2647500
2016-05-03,32.209999,32.369999,31.299999,31.299999,2640200
2016-05-04,31.200001,31.34,30.33,30.74,2870800
2016-05-05,30.690001,30.76,29.969999,30.110001,2147700
2016-05-06,30.209999,30.23,29.370001,30.09,1955700
2016-05-09,30.1,30.49,30.040001,30.190001,1884600
2016-05-10,30.26,30.66,30.01,30.52,1318700
2016-05-11,30.15,30.15,28.92,29.200001,2999300
2016-05-12,29.299999,29.389999,28.85,29.1,2149700
2016-05-13,29.1,29.32,28.41,28.73,2963600
2016-05-16,28.76,29.120001,28.559999,29.02,3026100
2016-05-17,29.09,29.4,28.41,28.459999,3047300
2016-05-18,28.33,28.370001,27.780001,28.030001,3887200
2016-05-19,28.040001,28.58,27.52,28.549999,3142500
2016-05-20,28.68,28.74,28.200001,28.48,2329300
2016-05-23,28.610001,28.870001,28.309999,28.469999,2005700
2016-05-24,28.389999,28.959999,28.15,28.700001,3522600
2016-05-25,28.77,29.84,28.67,29.73,4611800
2016-05-26,29.99,30.42,29.889999,29.98,3425500
2016-05-27,28.040001,28.93,27.65,28.799999,7559600
2016-05-31,28.889999,29.35,28.629999,29.1,9935800
2016-06-01,29.02,29.200001,28.450001,28.950001,3722300
2016-06-02,28.98,29.32,28.75,28.889999,1968100
2016-06-03,28.959999,29.049999,28.309999,28.629999,2209700
2016-06-06,28.27,28.6,28.040001,28.469999,1955200
2016-06-07,28.49,28.790001,28.4,28.459999,1821000
2016-06-08,28.469999,28.620001,28.18,28.23,1920400
2016-06-09,28.07,28.27,27.15,27.27,3397000
2016-06-10,26.950001,26.950001,26.16,26.530001,4522100
2016-06-13,26.450001,26.67,26.02,26.030001,2331700
2016-06-14,25.969999,26.040001,25.35,25.73,3149000
2016-06-15,25.700001,26.42,25.610001,26.129999,3626600
2016-06-16,26.059999,26.18,25.73,25.93,2230800
2016-06-17,25.98,26.6,25.780001,26.15,2594800
2016-06-20,26.450001,26.82,26.35,26.4,2280600
2016-06-21,26.370001,26.450001,25.709999,25.84,1569600
2016-06-22,25.959999,26.280001,25.809999,26,1786700
2016-06-23,26.43,26.549999,26.17,26.33,1518500
2016-06-24,25.280001,25.73,25.26,25.34,1843000
2016-06-27,25.309999,25.969999,25.18,25.5,3060700
2016-06-28,25.83,26.18,25.620001,26.049999,2880800
2016-06-29,26.469999,26.969999,26.370001,26.41,2485300
2016-06-30,26.51,26.690001,26.02,26.58,1859200
2016-07-01,26.879999,27.379999,26.73,27.059999,2632600
2016-07-05,27.030001,27.059999,25.959999,26.299999,2141100
2016-07-06,26.23,26.48,25.73,26.469999,2490300
2016-07-07,26.52,27.030001,26.190001,26.33,2270700
2016-07-08,26.67,27.389999,26.66,27.370001,2104100
2016-07-11,28.110001,28.790001,28.049999,28.450001,3566700
2016-07-12,28.719999,28.969999,28.5,28.74,3023300
2016-07-13,28.84,29.200001,28.68,28.85,2952800
2016-07-14,28.950001,29.1,28.459999,28.620001,1997100
2016-07-15,28.799999,28.799999,27.98,27.99,2468500
2016-07-18,28,30.4,27.870001,30.190001,7792200
2016-07-19,30.870001,31.299999,30.01,30.190001,4359200
2016-07-20,30.110001,31.32,30.040001,31.120001,3771100
2016-07-21,31.15,31.85,30.950001,31.01,4365100
2016-07-22,31,31.190001,30.65,30.809999,2590400
2016-07-25,30.52,30.959999,30.049999,30.879999,2252200
2016-07-26,30.82,31.299999,30.440001,31.25,2521100
2016-07-27,31.42,31.58,31.1,31.32,2183200
2016-07-28,31.200001,31.33,30.790001,31.17,1421900
2016-07-29,31.25,31.25,30.559999,30.950001,1597300
2016-08-01,30.969999,30.99,30.18,30.35,2887600
2016-08-02,30.559999,30.620001,29.219999,29.24,3420700
2016-08-03,29.040001,29.83,28.57,29.639999,2360100
2016-08-04,29.540001,30,29.43,29.66,1206600
2016-08-05,29.889999,30.59,29.809999,30.040001,2612300
2016-08-08,30.139999,30.389999,29.639999,29.790001,2044100
2016-08-09,29.76,30.219999,29.5,29.629999,2247600
2016-08-10,29.6,30.23,29.6,30.15,1750300
2016-08-11,30.530001,31.17,30.43,31.110001,2477800
2016-08-12,31,31.73,30.82,31.35,2146000
2016-08-15,31.309999,32.080002,31.309999,31.73,1430100
2016-08-16,31.66,31.950001,31.16,31.17,1586900
2016-08-17,30.870001,30.940001,30.5,30.82,1762400
2016-08-18,30.93,31.190001,30.57,31.17,1580100
2016-08-19,31.059999,31.92,30.889999,31.719999,2164800
2016-08-22,32,32.099998,31.26,31.459999,1671900
2016-08-23,32.029999,32.669998,31.83,32.09,2840300
2016-08-24,32.130001,32.41,31.620001,31.709999,2715400
2016-08-25,31.67,32.25,31.280001,32.16,6167300
2016-08-26,30.219999,30.51,28.690001,28.74,14493400
2016-08-29,28.75,28.969999,28.34,28.969999,4405600
2016-08-30,28.889999,28.959999,28.27,28.49,2859100
2016-08-31,28.48,28.950001,28.309999,28.389999,2828000
2016-09-01,28.469999,28.58,27.969999,28.030001,2094800
2016-09-02,28.209999,28.48,28.040001,28.389999,1690100
2016-09-06,28.379999,28.67,28.25,28.370001,1944100
2016-09-07,28.030001,28.23,27.889999,28.129999,1516100
2016-09-08,27.969999,28.110001,27.75,27.780001,1728800
2016-09-09,27.940001,28.030001,27.17,27.18,2485400
2016-09-12,27.379999,27.379999,26.85,27.040001,3607000
2016-09-13,26.950001,27.389999,26.809999,26.99,2825400
2016-09-14,27.629999,27.629999,26.940001,27.030001,1854300
2016-09-15,26.879999,27.27,26.690001,27.25,2210500
2016-09-16,27.209999,27.26,26.9,27.09,1922000
2016-09-19,27.389999,28.18,27.389999,27.9,3349800
2016-09-20,28.08,28.18,27.629999,27.719999,1865100
2016-09-21,27.790001,28.16,27.709999,28.129999,1663700
2016-09-22,28.290001,28.450001,27.889999,28.27,1790300
2016-09-23,28.24,28.58,28.190001,28.190001,1370200
2016-09-26,28.110001,28.200001,27.639999,27.639999,1074900
2016-09-27,27.65,27.76,27.27,27.43,1443000
2016-09-28,27.450001,27.860001,27.200001,27.49,1166400
2016-09-29,27.5,27.66,27.129999,27.139999,1758100
2016-09-30,27.379999,27.700001,27.25,27.59,1788800
2016-10-03,27.59,27.860001,27.450001,27.780001,1625400
2016-10-04,27.780001,27.84,27.030001,27.129999,2345700
2016-10-05,27.27,27.48,26.950001,27.200001,1941100
2016-10-06,27.08,27.1,26.299999,26.68,3747500
2016-10-07,26.799999,26.93,26.469999,26.68,2145400
2016-10-10,26.84,27.139999,26.65,26.83,1599600
2016-10-11,26.82,26.860001,26.01,26.049999,2142200
2016-10-12,26.139999,26.459999,26,26.120001,2446800
2016-10-13,26,26.139999,25.35,25.469999,2680300
2016-10-14,25.58,25.690001,25.110001,25.379999,3136100
2016-10-17,25.32,25.57,24.65,24.700001,5481500
2016-10-18,24.969999,25.110001,24.780001,24.82,2069400
2016-10-19,24.879999,25.01,24.450001,25,2332400
2016-10-20,24.950001,25.200001,24.91,25.110001,2265400
2016-10-21,25.09,25.09,24.719999,25.01,1753200
2016-10-24,25.370001,25.370001,24.85,25.139999,1873500
2016-10-25,25.02,25.15,24.65,24.75,1909900
2016-10-26,24.73,25.190001,24.35,24.77,3323900
2016-10-27,24.84,24.91,23.889999,23.99,2703400
2016-10-28,23.99,24.219999,23.690001,23.9,1871100
2016-10-31,23.950001,24.18,23.76,24.049999,2151200
2016-11-01,24.01,24.01,23.32,23.559999,2499200
2016-11-02,20.59,21.540001,20.1,20.93,13653300
